Sales,Quantity,Profit,Discount,Ship Mode
9.42,3,4.239,0,Second Class
6.56,2,1.9024,0,Second Class
24.56,2,11.5432,0,Second Class
15.552,3,2.3328,0.2,Standard Class
13.62,3,6.129,0,Standard Class
69.52,2,19.4656,0,Standard Class
5.64,3,1.6356,0,Standard Class
61.568,2,4.6176,0.2,Standard Class
6.192,3,0.4644,0.2,Standard Class
47.79,3,16.2486,0,Second Class
186.304,4,13.9728,0.2,Standard Class
232.55,5,9.302,0,Standard Class
99.98,2,42.9914,0,Standard Class
19.44,3,9.3312,0,Standard Class
12.96,2,6.3504,0,Standard Class
397.6,5,43.736,0,Second Class
85.96,7,40.4012,0,Second Class
13.12,4,4.3296,0,Second Class
45.66,3,22.3734,0,Second Class
605.34,6,145.2816,0,Standard Class
105.52,4,48.5392,0,Standard Class
31.984,2,1.999,0.2,First Class
19.52,2,5.368,0.2,First Class
9.81,5,-6.867,0.7,First Class
213.216,3,15.9912,0.2,First Class
16.272,1,-3.8646,0.2,Standard Class
1.869,1,-1.3083,0.7,Standard Class
23.472,3,7.6284,0.2,Standard Class
234.45,3,103.158,0,Standard Class
1256.22,6,75.3732,0,Standard Class
17.46,2,8.2062,0,Standard Class
15.84,3,7.128,0,Standard Class
1049.93,7,293.9804,0,Standard Class
154.9,5,40.274,0,Standard Class
14.32,5,5.191,0.2,Same Day
129.888,6,12.9888,0.2,Same Day
48.944,7,16.5186,0.2,Same Day
9.64,2,4.7236,0,Standard Class
25.5,3,6.63,0,Second Class
1215.92,8,316.1392,0,Standard Class
7.31,1,3.4357,0,Standard Class
8.92,4,3.9248,0,Standard Class
323.976,3,28.3479,0.2,First Class
11.808,4,3.9852,0.2,First Class
26.16,3,1.962,0.2,First Class
33.57,5,-25.737,0.7,First Class
4.992,3,1.3728,0.2,First Class
20.016,3,5.5044,0.2,First Class
170.24,2,53.2,0.2,First Class
13.36,2,6.4128,0,Second Class
18.24,2,-14.592,0.7,Standard Class
58.32,9,27.9936,0,Same Day
200.97,3,50.2425,0,Same Day
3.488,2,1.1772,0.2,Standard Class
143.856,9,48.5514,0.2,Standard Class
561.584,2,70.198,0.2,Standard Class
99.92,5,-1.249,0.2,Standard Class
25.984,2,-1.624,0.2,Standard Class
945.036,6,-299.2614,0.4,Standard Class
14.301,7,-10.4874,0.7,Standard Class
410.352,3,-51.294,0.2,Standard Class
328.59,3,-147.8655,0.4,First Class
98.352,3,-24.588,0.2,First Class
9.912,3,3.2214,0.2,First Class
1.365,1,-0.91,0.7,Standard Class
62.016,2,22.4808,0.2,Standard Class
9.96,2,4.8804,0,First Class
146.76,3,38.1576,0,Second Class
32.96,2,14.1728,0,Second Class
587.97,3,164.6316,0,Second Class
14.94,3,7.0218,0,Second Class
479.984,2,89.997,0.2,Second Class
67.194,1,-51.5154,0.7,Standard Class
111.15,5,48.906,0,Standard Class
88.768,2,31.0688,0.2,Standard Class
21.84,3,10.92,0,Standard Class
15.6,5,7.644,0,Standard Class
12.78,3,5.2398,0,First Class
799.92,10,239.976,0.2,Standard Class
67.88,2,18.3276,0,Standard Class
162.89,13,76.5583,0,Standard Class
25.71,3,9.2556,0,Standard Class
11.43,3,5.3721,0,Standard Class
30.44,2,14.9156,0,Standard Class
12.96,2,6.3504,0,Standard Class
16,4,7.68,0,Standard Class
32.67,3,8.4942,0,Standard Class
2573.82,9,746.4078,0,Standard Class
609.98,2,274.491,0,Standard Class
5.48,2,1.4796,0,Standard Class
391.98,2,113.6742,0,Standard Class
755.96,4,204.1092,0,Standard Class
31.12,4,0.3112,0,Standard Class
6.54,1,3.0084,0,Standard Class
194.7,5,9.735,0,Standard Class
591.32,4,112.3508,0,Standard Class
2.84,1,0.8804,0,Standard Class
3499.93,7,909.9818,0,Standard Class
14.4,5,6.624,0,Standard Class
122.97,3,60.2553,0,Standard Class
9.32,4,2.7028,0,Standard Class
122.94,3,59.0112,0,Standard Class
6.642,9,-4.428,0.7,Standard Class
1299.99,2,-571.9956,0.5,Standard Class
129.92,4,10.3936,0,Standard Class
23.472,3,4.9878,0.2,Same Day
42.208,2,13.7176,0.2,Standard Class
58.05,3,26.703,0,Second Class
71.28,11,34.2144,0,Second Class
659.97,3,197.991,0,Standard Class
113.73,3,32.9817,0,Standard Class
344.91,3,10.3473,0,Standard Class
31.104,6,10.8864,0.2,Standard Class
47.96,5,4.1965,0.2,Standard Class
158.928,7,41.7186,0.2,Standard Class
211.248,6,15.8436,0.2,Standard Class
5.552,2,-1.041,0.2,Standard Class
2.952,1,0.9963,0.2,Standard Class
23.92,4,11.7208,0,Standard Class
498,5,184.26,0,Standard Class
32.4,5,15.552,0,Standard Class
59.2,5,22.2,0.2,Standard Class
32.952,3,6.5904,0.2,Standard Class
218.376,3,-10.9188,0.2,Standard Class
310.688,7,108.7408,0.2,Same Day
11.88,2,5.346,0,First Class
35.44,1,16.6568,0,First Class
174.95,5,45.487,0,First Class
826,5,214.76,0,First Class
12.39,3,5.8233,0,Second Class
47.79,3,16.2486,0,Standard Class
177.68,2,46.1968,0,Standard Class
7.632,3,-1.8126,0.2,Second Class
155.456,4,-7.7728,0.2,Second Class
39.128,1,-8.8038,0.2,First Class
91.36,5,29.692,0.2,First Class
152.24,5,17.127,0.2,First Class
5.95,1,0.833,0,Standard Class
15.24,3,7.1628,0,Standard Class
99.98,2,7.9984,0,Second Class
29.46,6,9.7218,0,Second Class
1793.98,2,843.1706,0,Standard Class
337.088,4,16.8544,0.2,Standard Class
828.84,6,0,0,Standard Class
36.4,5,17.472,0,First Class
22.96,2,4.3624,0,First Class
315.2,4,6.304,0,First Class
15.18,3,7.1346,0,First Class
18.336,2,-12.224,0.7,Standard Class
180.96,5,13.572,0.2,Standard Class
45.528,3,15.9348,0.2,Second Class
64.784,1,6.4784,0.2,Second Class
424.272,2,-10.6068,0.2,Second Class
1.344,1,0.504,0.2,Second Class
83.92,5,-1.049,0.2,Second Class
10.368,2,3.6288,0.2,Standard Class
11.952,3,4.0338,0.2,Standard Class
91.056,6,31.8696,0.2,Standard Class
1125.488,7,98.4802,0.2,Same Day
12.645,5,-10.116,0.7,Same Day
4.032,2,1.0584,0.2,Same Day
34.2,5,9.234,0,First Class
500.24,13,145.0696,0,Standard Class
20.12,2,9.2552,0,Standard Class
896.99,1,421.5853,0,Standard Class
149.9,5,40.473,0,Same Day
43.68,6,20.9664,0,Standard Class
14.04,3,6.7392,0,First Class
272.61,13,98.1396,0,First Class
115.36,7,56.5264,0,Standard Class
25.248,3,4.1028,0.2,Second Class
957.5775,5,-383.031,0.45,Standard Class
22.368,2,2.5164,0.2,Standard Class
831.936,8,-114.3912,0.2,Standard Class
97.04,2,1.213,0.2,Standard Class
72.784,1,-18.196,0.2,Standard Class
200.984,7,62.8075,0.2,Standard Class
157.794,1,-115.7156,17,Standard Class
161.568,2,-28.2744,0.2,Standard Class
389.696,8,43.8408,0.2,Standard Class
375.4575,3,-157.0095,0.45,Standard Class
83.976,3,-1.0497,0.2,Standard Class
105.42,2,51.6558,0,Standard Class
2.74,1,0.7398,0,Standard Class
8.34,3,2.1684,0,Standard Class
46.74,3,11.685,0,Standard Class
6354.95,5,3177.475,0,Standard Class
152.94,3,41.2938,0,Standard Class
283.92,4,70.98,0,Standard Class
70.98,1,4.9686,0,Standard Class
294.93,3,144.5157,0,Standard Class
392.94,3,43.2234,0,Second Class
186.69,3,87.7443,0,Standard Class
143.96,4,69.1008,0,Standard Class
15.42,1,4.1634,0,Standard Class
43.04,8,21.0896,0,Standard Class
332.94,3,79.9056,0,Standard Class
83.72,7,23.4416,0,Standard Class
287.94,3,77.7438,0,Standard Class
30.84,2,8.3268,0,Standard Class
46.2,4,12.936,0,Standard Class
28.84,2,9.5172,0,Standard Class
6.24,2,3.0576,0,Standard Class
1166.92,5,131.2785,0.2,Second Class
10.67,1,4.9082,0,Standard Class
36.63,3,9.8901,0,Standard Class
24.1,5,9.158,0,Standard Class
33.11,7,12.9129,0,Standard Class
115.296,3,40.3536,0.2,Standard Class
279.9,5,137.151,0,Standard Class
619.95,5,111.591,0,Standard Class
4.36,2,2.0492,0,Standard Class
15.28,2,7.4872,0,Standard Class
15.552,3,5.4432,0.2,Same Day
15.712,4,2.5532,0.2,Same Day
24.672,2,2.1588,0.2,Same Day
55.968,1,-2.0988,0.2,Same Day
61.96,2,4.3372,0,Second Class
255.968,4,31.996,0.2,Same Day
74.352,3,23.235,0.2,Standard Class
517.5,6,155.25,0,Standard Class
196.62,2,96.3438,0,First Class
38.88,6,18.6624,0,Second Class
207,3,25.875,0.2,Standard Class
3.76,2,1.8048,0,Second Class
13.12,5,1.476,0.2,Standard Class
287.97,3,77.7519,0,Standard Class
595.38,6,297.69,0,Standard Class
12.96,2,6.2208,0,Standard Class
194.32,4,56.3528,0,First Class
94.74,3,44.5278,0,Second Class
60.64,4,27.8944,0,Second Class
76.3,5,38.15,0,Second Class
364.8,12,167.808,0,Second Class
33.96,2,16.98,0,First Class
826.11,3,322.1829,0,First Class
269.49,3,5.3898,0,Second Class
106.5,6,41.535,0,First Class
6.992,2,0.5244,0.2,Standard Class
9.216,4,3.3408,0.2,Standard Class
10.368,2,3.6288,0.2,Standard Class
4.928,2,0.7392,0.2,Second Class
7.23,5,-5.784,0.7,Second Class
29.99,1,2.999,0,Standard Class
12.828,2,-8.9796,0.7,Standard Class
8.226,3,-6.0324,0.7,Standard Class
387.136,4,24.196,0.2,Standard Class
53.7,6,10.203,0,Standard Class
36.26,7,16.6796,0,Standard Class
56.3,2,15.764,0,Standard Class
32.4,5,15.552,0,Standard Class
29.16,2,10.7892,0,Standard Class
1123.92,5,-182.637,0.2,First Class
249.584,2,31.198,0.2,First Class
48.672,3,7.3008,0.2,First Class
60.768,2,7.596,0.2,First Class
78.6,5,-62.88,0.7,First Class
3.768,2,-3.14,0.7,First Class
1036.624,2,51.8312,0.2,First Class
563.808,4,21.1428,0.2,First Class
4.608,2,1.6704,0.2,Standard Class
58.72,4,27.0112,0,Second Class
5.16,3,0.8385,0.2,Standard Class
47.952,3,16.1838,0.2,Standard Class
87.168,3,10.896,0.2,Standard Class
14.496,3,4.8924,0.2,Standard Class
2.946,2,-2.0622,0.7,Standard Class
55.104,6,18.5976,0.2,Standard Class
8.688,3,2.9322,0.2,Standard Class
30.88,4,3.86,0.2,Standard Class
6.408,3,1.4418,0.2,Standard Class
24.78,6,6.9384,0,Standard Class
19.14,3,8.8044,0,Standard Class
899.97,3,314.9895,0,Standard Class
32.4,5,15.552,0,Standard Class
11.76,5,1.323,0.2,Standard Class
5.238,2,-4.0158,0.7,Standard Class
4.662,3,-3.7296,0.7,Standard Class
523.92,5,-72.039,0.2,Standard Class
100.792,1,10.0792,0.2,Standard Class
146.136,3,16.4403,0.2,Standard Class
801.96,2,200.49,0,Standard Class
59.97,3,0,0,Standard Class
1056.86,7,306.4894,0,Standard Class
61.68,4,16.6536,0,Standard Class
63.96,4,30.7008,0,Standard Class
63.552,3,14.2992,0.2,Standard Class
41.376,3,4.6548,0.2,Standard Class
172.704,6,10.794,0.2,Standard Class
231.92,5,5.798,0.2,Second Class
1.78,1,0.4984,0,Standard Class
25.92,4,12.4416,0,Standard Class
101.94,6,21.4074,0,Standard Class
542.94,3,152.0232,0,Standard Class
8.64,3,4.2336,0,Standard Class
193.8,5,94.962,0,Standard Class
21.4,5,9.63,0,Standard Class
97.88,2,48.94,0,Standard Class
251.91,9,47.8629,0,Standard Class
25.86,3,6.7236,0,Standard Class
47.976,3,4.7976,0.2,First Class
3080,7,1416.8,0,Standard Class
79.96,4,18.3908,0,Standard Class
587.97,3,170.5113,0,Standard Class
11.952,3,4.0338,0.2,Standard Class
15.552,3,5.6376,0.2,Standard Class
55.944,7,-13.2867,0.2,Same Day
10.688,2,2.2712,0.2,Same Day
11.824,2,1.0346,0.2,Same Day
692.472,11,190.4298,0.2,Standard Class
50.88,6,14.628,0.2,Standard Class
27.312,2,9.2178,0.2,Standard Class
1598.058,7,-1065.372,0.7,Second Class
36.96,4,12.012,0.2,Second Class
17.48,2,8.2156,0,Second Class
71.88,2,32.346,0,Second Class
31.56,4,14.202,0,First Class
27.92,4,0.5584,0,First Class
113.1,3,56.55,0,Standard Class
239.7,6,105.468,0,Standard Class
18.272,1,5.9384,0.2,Second Class
153.728,4,53.8048,0.2,Second Class
12.224,2,4.4312,0.2,Second Class
167.944,7,50.3832,0.2,Second Class
5.64,3,2.7072,0,Standard Class
467.04,4,58.38,0.2,Second Class
717.12,9,152.388,0.2,Second Class
7.24,5,1.1765,0.2,Standard Class
55.936,8,18.8784,0.2,Standard Class
18.432,8,5.9904,0.2,Standard Class
20.32,5,3.556,0.2,Standard Class
66.36,4,23.226,0,Standard Class
107.976,3,37.7916,0.2,Standard Class
1801.632,6,-337.806,0.2,Standard Class
182.91,3,53.0439,0,First Class
79.96,5,27.986,0.2,Standard Class
6.16,2,1.9712,0,Standard Class
56.3,2,15.764,0,Standard Class
17.94,3,8.7906,0,Second Class
192.22,14,69.1992,0,Standard Class
5.56,2,1.4456,0,Second Class
46.152,3,12.1149,0.2,Standard Class
32.985,3,-1.9791,0.5,First Class
11.672,1,-0.7295,0.2,First Class
64.2,5,-42.8,0.7,Standard Class
38.52,3,-26.964,0.7,Standard Class
72.6,5,-8.1675,0.2,Standard Class
32.4,5,15.552,0,Second Class
47.98,2,11.0354,0,Second Class
301.96,2,45.294,0,Standard Class
45.68,2,21.0128,0,Standard Class
16.146,9,-12.9168,0.7,Standard Class
1345.485,5,-1031.5385,0.7,Standard Class
88.96,8,10.008,0.2,Standard Class
6.48,1,3.1104,0,Standard Class
13.632,4,3.5784,0.2,Standard Class
1690.04,4,422.51,0,Standard Class
85.96,7,24.0688,0,Standard Class
121.96,2,57.3212,0,Standard Class
23.92,4,11.7208,0,Standard Class
63.96,2,6.396,0,Standard Class
629.95,5,176.386,0,Standard Class
113.73,3,32.9817,0,Standard Class
14.6,2,6.862,0,Standard Class
887.84,8,17.7568,0,Standard Class
29.97,3,0.2997,0,Standard Class
21.36,8,8.1168,0,Standard Class
3.444,1,-2.5256,0.7,Second Class
311.15,5,146.2405,0,Standard Class
12.96,2,6.3504,0,Standard Class
177.48,3,19.9665,0.2,Standard Class
84.96,6,6.372,0.2,Standard Class
962.08,4,156.338,0.2,Standard Class
12.843,3,-9.8463,0.7,Standard Class
295.456,14,96.0232,0.2,Standard Class
20.94,3,6.0726,0,Standard Class
135.09,9,62.1414,0,Standard Class
279.86,14,64.3678,0,Standard Class
90.06,6,41.4276,0,Standard Class
173.94,6,50.4426,0,Second Class
191.96,2,51.8292,0,Standard Class
21.3,3,9.798,0,Standard Class
469.95,5,131.586,0,Standard Class
209.88,3,35.6796,0,Standard Class
7.38,5,-5.412,0.7,Standard Class
67.96,4,12.2328,0,Standard Class
163.136,4,20.392,0.2,Standard Class
6.408,4,-4.9128,0.7,Standard Class
6.129,3,-4.4946,0.7,First Class
643.136,4,56.2744,0.2,First Class
20.736,4,7.2576,0.2,First Class
11.696,2,3.9474,0.2,Standard Class
129.93,3,12.993,0,Standard Class
69.93,7,31.4685,0,Standard Class
140.736,4,12.3144,0.2,Second Class
98.46,9,49.23,0,Standard Class
358.58,2,39.4438,0,Standard Class
55.984,2,4.1988,0.2,Standard Class
491.55,5,240.8595,0,Second Class
7.38,2,3.3948,0,Second Class
44.43,3,18.6606,0,Second Class
226.2,5,58.812,0,Second Class
186.54,3,41.0388,0,Second Class
265.86,7,79.758,0,Second Class
27.9,5,6.975,0,Second Class
106.32,3,49.9704,0,Standard Class
163.44,3,45.7632,0,Standard Class
42.76,2,11.1176,0,Standard Class
51.55,5,24.2285,0,Standard Class
7.23,5,-5.784,0.7,Standard Class
17.44,2,1.308,0.2,Standard Class
62.88,4,-50.304,0.7,Standard Class
290.352,3,-36.294,0.2,Standard Class
275.88,6,46.8996,0,Second Class
157.9,5,74.213,0,Second Class
1.872,2,-1.3104,0.7,Standard Class
11.214,2,-8.5974,0.7,Standard Class
37.376,8,7.4752,0.2,Standard Class
67.36,2,10.104,0.2,Standard Class
54.528,3,14.3136,0.2,Standard Class
4.608,2,1.6704,0.2,Second Class
10.272,3,1.1556,0.2,Same Day
569.64,2,148.1064,0,First Class
9.14,1,4.57,0,First Class
1196.86,7,119.686,0,First Class
523.26,9,125.5824,0,First Class
19.56,4,5.4768,0,Standard Class
60.84,3,19.4688,0,Standard Class
450.04,2,58.5052,0,Standard Class
34.6,2,16.608,0,Standard Class
467.97,3,140.391,0,Standard Class
33.02,2,15.8496,0,Standard Class
17.088,2,1.068,0.2,First Class
74.52,9,35.0244,0,Standard Class
12,4,4.2,0.2,Standard Class
720.064,4,-63.0056,0.2,Standard Class
25.424,1,-4.767,0.2,Standard Class
2.816,2,0.3168,0.2,Standard Class
3.204,2,-2.5632,0.7,Standard Class
13.12,5,2.132,0.2,Standard Class
154.9,5,69.705,0,Standard Class
1871.88,12,561.564,0,Standard Class
5.04,2,1.764,0.2,Standard Class
27.42,3,9.3228,0,Standard Class
165.98,1,74.691,0,Standard Class
75,3,18,0,Standard Class
6.048,7,-4.2336,0.7,First Class
98.352,3,9.8352,0.2,First Class
335.744,2,25.1808,0.2,First Class
191.5155,1,-76.6062,0.45,Standard Class
2.624,1,0.4264,0.2,Standard Class
1369.764,6,-913.176,0.7,Standard Class
294.368,4,-58.8736,0.2,Standard Class
6.336,4,-4.6464,0.7,Standard Class
10.48,1,3.799,0.2,Standard Class
2.469,1,-1.8106,0.7,Standard Class
3.264,2,-2.2848,0.7,Standard Class
13.092,4,-10.0372,0.7,Standard Class
4.928,2,0.7392,0.2,Standard Class
11.784,3,4.2717,0.2,Standard Class
9.952,1,0.9952,0.2,Second Class
17.52,3,8.2344,0,Standard Class
35.76,12,10.0128,0,Standard Class
9.82,2,4.8118,0,Second Class
447.944,7,89.5888,0.2,Same Day
150.408,9,-33.8418,0.2,Same Day
121.104,6,-100.92,0.7,Standard Class
111.96,5,-1.3995,0.2,Standard Class
31.504,11,11.814,0.2,Standard Class
5.04,1,1.638,0.2,Standard Class
39.879,7,-29.2446,0.7,Standard Class
4.712,1,1.4136,0.2,Standard Class
97.424,2,10.9602,0.2,First Class
4.728,3,0.7092,0.2,Standard Class
53.352,3,16.0056,0.2,Standard Class
131.104,2,8.194,0.2,Standard Class
22.512,3,2.2512,0.2,Standard Class
72.744,7,-12.7302,0.2,Standard Class
46.62,9,21.4452,0,Standard Class
39.96,2,14.3856,0,Standard Class
74.24,1,8.352,0.2,First Class
159.84,10,45.954,0.2,First Class
2.892,2,-2.3136,0.7,First Class
9.392,2,3.2872,0.2,First Class
36.27,3,10.881,0,Standard Class
494.97,3,148.491,0,Second Class
25.06,2,11.7782,0,Second Class
77.952,3,12.6672,0.2,Standard Class
95.97,5,-73.577,0.7,Standard Class
105.584,2,9.2386,0.2,Standard Class
9.344,2,1.168,0.2,Standard Class
146.73,3,2.9346,0,First Class
29.9,5,13.455,0,First Class
246.168,3,21.5397,0.2,Standard Class
18.176,1,4.7712,0.2,First Class
31.12,4,14.6264,0,Standard Class
151.96,4,36.4704,0,Standard Class
197.72,4,55.3616,0,First Class
4297.644,13,-1862.3124,0.4,Second Class
64.68,7,8.085,0.2,First Class
48.81,3,23.9169,0,Standard Class
173.488,7,54.215,0.2,Standard Class
516.96,4,-6.462,0.2,Standard Class
173.208,7,45.4671,0.2,Standard Class
4.448,2,0.3336,0.2,Standard Class
9,3,3.15,0.2,Standard Class
42.24,10,13.2,0.2,Standard Class
18.264,2,-13.3936,0.7,Standard Class
119.56,2,54.9976,0,Standard Class
140.75,5,42.225,0,Standard Class
85.98,1,22.3548,0,Second Class
261.96,2,41.9136,0,Second Class
731.94,3,219.582,0,Second Class
75.88,2,35.6636,0,First Class
208.16,1,56.2032,0,First Class
16.74,3,8.0352,0,First Class
254.058,7,-169.372,0.7,Second Class
194.528,2,24.316,0.2,Second Class
961.48,5,-204.3145,0.2,Second Class
36.24,5,11.325,0.2,Standard Class
189.588,2,-145.3508,0.7,Standard Class
408.744,7,76.6395,0.2,Standard Class
291.96,5,54.7425,0.2,Standard Class
4.768,2,-0.7748,0.2,Standard Class
189.882,3,-94.941,0.4,Second Class
979.95,5,274.386,0,Second Class
22.75,5,11.375,0,Second Class
10.74,3,5.2626,0,Same Day
45.584,7,5.1282,0.2,Standard Class
383.438,4,-167.3184,0.45,Standard Class
641.96,2,179.7488,0,Standard Class
1363.96,5,85.2475,0.2,Same Day
12.96,2,6.2208,0,Standard Class
35.216,2,2.6412,0.2,Standard Class
23.696,2,6.5164,0.2,Standard Class
265.475,1,-111.4995,0.5,Standard Class
185.88,6,50.1876,0,Standard Class
191.472,6,40.6878,0.2,Second Class
5.248,2,0.5904,0.2,Second Class
59.184,2,5.1786,0.2,Second Class
3.282,2,-2.6256,0.7,First Class
1363.96,5,85.2475,0.2,Standard Class
102.36,3,-3.8385,0.2,Standard Class
343.92,4,75.6624,0,Standard Class
